ID,aroma,acidity,body,uniformity,clean_cup,sweetness,Quality
587,7.75,7.5,7.5,10.0,10.0,10.0,1
362,7.58,7.33,7.0,10.0,10.0,10.0,1
83,7.75,8.0,8.0,10.0,10.0,10.0,1
967,7.42,7.5,7.42,10.0,10.0,10.0,0
742,7.92,8.08,8.08,10.0,10.0,10.0,1
745,7.25,6.83,7.58,8.67,10.0,10.0,0
280,7.75,7.75,8.0,10.0,10.0,10.0,1
712,7.5,7.17,7.33,10.0,10.0,10.0,0
1018,7.67,7.83,7.83,10.0,10.0,7.92,1
932,7.0,7.17,7.17,10.0,10.0,10.0,0
594,7.58,7.58,7.33,10.0,10.0,10.0,1
584,7.67,7.58,7.5,10.0,10.0,10.0,1
876,7.67,7.33,7.58,9.33,10.0,8.67,0
74,7.67,7.83,7.58,10.0,10.0,10.0,1
16,7.67,7.58,8.08,10.0,10.0,10.0,0
430,7.67,7.5,7.67,10.0,10.0,10.0,1
677,7.08,7.33,7.42,10.0,10.0,10.0,0
619,7.83,7.58,7.75,10.0,10.0,10.0,1
383,7.75,7.67,7.58,10.0,10.0,10.0,1
62,7.83,7.33,7.5,10.0,10.0,10.0,1
557,7.58,7.17,7.08,10.0,10.0,10.0,1
910,7.5,7.17,7.5,10.0,10.0,10.0,0
1054,7.75,7.67,7.58,10.0,10.0,10.0,1
976,7.83,7.67,7.5,10.0,10.0,10.0,1
929,7.42,7.5,7.25,10.0,10.0,10.0,0
524,7.5,7.67,7.42,10.0,10.0,10.0,0
762,7.42,7.5,7.33,10.0,10.0,10.0,0
48,7.42,7.58,7.67,10.0,10.0,10.0,1
636,7.67,6.67,7.17,9.33,10.0,6.67,0
874,7.5,7.5,7.42,9.33,10.0,10.0,0
365,8.17,8.0,7.58,10.0,10.0,10.0,1
507,7.58,7.33,7.42,10.0,10.0,10.0,0
249,7.17,7.0,7.0,10.0,10.0,10.0,0
823,7.83,8.0,7.83,10.0,10.0,10.0,1
924,7.58,7.42,7.5,8.0,8.67,9.33,0
540,7.0,7.33,7.42,10.0,10.0,10.0,0
931,7.33,7.42,7.25,10.0,10.0,10.0,0
1029,7.33,7.42,7.33,10.0,10.0,10.0,0
21,7.58,7.75,7.67,10.0,10.0,10.0,1
891,7.25,8.0,7.75,10.0,10.0,10.0,1
88,7.67,7.5,7.5,10.0,10.0,10.0,1
666,7.83,7.92,7.58,10.0,10.0,10.0,1
195,7.08,7.83,7.75,10.0,10.0,10.0,1
977,7.5,7.5,7.67,10.0,10.0,10.0,1
450,8.0,7.75,7.75,10.0,10.0,10.0,1
169,7.17,7.25,7.5,10.0,10.0,10.0,0
884,7.25,7.5,7.08,10.0,10.0,10.0,0
410,7.58,7.33,7.5,10.0,10.0,10.0,0
623,8.0,7.58,7.33,10.0,10.0,10.0,0
625,7.42,7.58,7.58,10.0,10.0,10.0,0
420,8.17,7.67,8.08,9.33,9.33,9.33,1
1020,7.42,7.67,7.33,10.0,10.0,10.0,0
452,7.58,7.5,7.83,10.0,10.0,10.0,1
861,7.25,7.25,7.17,9.33,10.0,10.0,0
841,7.25,7.42,7.5,10.0,10.0,10.0,0
926,7.5,7.58,7.42,10.0,10.0,10.0,1
489,7.67,7.33,7.75,10.0,10.0,10.0,0
693,7.75,7.58,7.5,10.0,10.0,10.0,1
235,7.83,7.92,7.83,10.0,10.0,10.0,1
510,7.33,7.08,7.42,10.0,10.0,10.0,0
927,7.58,7.67,7.58,8.0,10.0,10.0,1
854,7.42,7.08,6.92,7.33,10.0,10.0,0
908,7.58,7.58,7.5,10.0,10.0,10.0,0
673,7.58,8.0,7.58,10.0,10.0,10.0,1
800,7.58,7.75,7.67,10.0,10.0,10.0,1
645,7.33,7.5,7.5,10.0,10.0,10.0,0
848,7.67,7.33,7.58,10.0,10.0,10.0,1
371,7.67,7.5,7.58,10.0,10.0,10.0,1
87,7.42,7.5,7.33,10.0,10.0,10.0,0
604,7.67,7.33,7.5,10.0,10.0,10.0,0
657,7.58,7.33,7.67,9.33,9.33,9.33,0
198,7.33,7.08,7.17,9.33,10.0,10.0,0
152,7.5,7.5,7.5,10.0,10.0,10.0,1
882,7.67,7.67,7.5,10.0,10.0,10.0,1
314,7.5,7.33,7.75,10.0,10.0,10.0,0
643,7.42,7.33,7.42,10.0,10.0,10.0,0
1033,7.42,7.5,7.33,10.0,10.0,10.0,0
621,7.58,7.58,7.58,10.0,10.0,10.0,1
735,7.25,7.75,8.17,10.0,10.0,9.33,1
523,8.17,7.75,8.33,10.0,10.0,10.0,1
598,7.25,7.83,7.67,9.33,10.0,10.0,1
33,7.67,7.42,7.5,10.0,10.0,10.0,0
445,7.67,7.67,7.42,10.0,10.0,10.0,0
462,6.92,6.92,7.42,6.0,6.0,10.0,0
889,7.67,7.75,7.67,10.0,10.0,10.0,1
144,7.92,7.92,7.67,10.0,10.0,10.0,1
460,8.67,8.75,8.5,10.0,10.0,10.0,1
790,7.75,7.42,8.08,10.0,10.0,10.0,1
962,7.5,7.5,7.83,10.0,10.0,10.0,1
536,7.83,7.17,7.08,10.0,10.0,10.0,0
650,7.75,7.75,7.92,10.0,10.0,10.0,1
593,7.33,7.42,7.17,10.0,10.0,10.0,0
868,7.67,7.75,7.58,10.0,10.0,10.0,1
406,7.75,7.58,7.67,10.0,10.0,7.67,0
451,6.75,6.67,7.08,9.33,6.0,6.0,0
578,7.92,7.67,7.67,10.0,10.0,10.0,1
820,7.83,8.17,8.17,10.0,10.0,10.0,1
638,7.33,7.42,7.75,10.0,10.0,10.0,1
267,7.67,7.75,7.5,10.0,10.0,10.0,0
691,7.75,7.5,7.5,10.0,10.0,10.0,1
809,7.25,7.5,7.33,9.33,10.0,10.0,0
4,7.67,7.33,7.67,10.0,10.0,10.0,1
5,7.25,7.25,7.0,10.0,10.0,10.0,0
552,7.92,7.83,7.5,10.0,10.0,10.0,1
470,7.5,7.83,7.58,10.0,10.0,10.0,1
215,8.58,8.5,8.25,10.0,10.0,10.0,1
223,7.33,7.42,7.25,10.0,10.0,10.0,0
695,7.42,7.33,7.25,10.0,10.0,10.0,1
370,7.42,7.42,7.42,10.0,10.0,10.0,0
466,7.83,7.83,7.83,9.33,10.0,10.0,1
283,7.92,7.92,7.75,10.0,10.0,10.0,1
572,7.42,7.33,7.17,10.0,10.0,10.0,0
332,7.75,8.08,7.75,9.33,9.33,9.33,1
81,7.83,7.67,7.58,10.0,10.0,10.0,1
1049,7.67,7.67,7.5,10.0,10.0,10.0,1
846,6.75,6.83,6.92,9.33,9.33,6.67,0
761,7.67,7.67,7.5,10.0,10.0,10.0,0
644,7.42,7.42,7.25,10.0,10.0,10.0,0
948,7.58,7.67,7.75,10.0,10.0,10.0,1
393,7.67,7.58,7.33,10.0,2.67,10.0,0
1006,7.5,7.5,7.33,10.0,10.0,10.0,1
312,7.5,7.33,7.33,10.0,10.0,10.0,0
719,7.25,7.33,7.25,10.0,10.0,10.0,0
656,7.83,7.25,7.58,10.0,10.0,10.0,0
102,7.83,7.67,7.67,10.0,10.0,10.0,1
205,7.33,7.5,7.58,10.0,10.0,10.0,0
844,7.17,7.0,7.17,10.0,10.0,10.0,0
726,7.67,7.5,7.5,10.0,10.0,9.33,1
68,7.58,7.5,7.08,8.67,10.0,10.0,0
210,7.67,7.67,7.67,10.0,10.0,10.0,1
560,7.5,7.83,7.75,10.0,10.0,10.0,1
812,7.42,7.75,8.08,8.67,8.67,8.67,1
747,7.67,5.25,7.67,10.0,10.0,10.0,1
827,7.58,7.58,7.67,10.0,10.0,10.0,1
344,7.67,7.83,7.58,10.0,10.0,10.0,1
1070,7.0,7.5,7.5,10.0,10.0,10.0,0
989,7.67,7.08,7.0,10.0,10.0,10.0,0
363,7.58,7.33,7.33,10.0,10.0,10.0,0
49,8.17,7.75,7.67,10.0,10.0,10.0,1
194,7.83,7.67,7.5,10.0,10.0,7.75,0
627,7.08,7.25,7.42,10.0,10.0,10.0,0
493,7.67,7.58,7.67,10.0,10.0,10.0,1
855,8.67,8.42,8.33,9.33,10.0,9.33,1
333,8.0,7.92,7.75,10.0,10.0,10.0,1
287,7.58,7.33,7.33,10.0,10.0,10.0,0
869,7.92,7.58,7.42,10.0,10.0,10.0,1
109,7.0,7.0,7.0,10.0,10.0,10.0,0
180,6.92,7.25,7.17,10.0,10.0,10.0,0
798,7.92,7.67,7.67,10.0,10.0,10.0,1
160,8.25,8.33,8.17,10.0,6.67,10.0,1
159,6.75,7.17,7.0,8.0,10.0,10.0,0
26,7.58,7.58,7.75,10.0,10.0,10.0,1
218,7.75,7.25,7.08,10.0,10.0,10.0,0
116,7.67,7.42,7.83,10.0,10.0,10.0,1
225,7.67,7.67,7.5,10.0,10.0,10.0,0
997,7.42,7.17,7.08,10.0,10.0,10.0,1
257,8.42,8.5,8.25,10.0,10.0,10.0,1
660,7.33,7.33,7.25,9.33,10.0,10.0,0
442,7.92,7.67,7.5,10.0,10.0,10.0,1
457,7.33,7.08,7.33,9.33,9.33,9.33,0
878,7.75,7.58,7.58,10.0,10.0,10.0,1
414,7.58,7.83,7.42,10.0,10.0,7.42,0
232,7.25,7.33,7.42,9.33,10.0,10.0,0
694,7.67,7.75,7.83,10.0,10.0,10.0,1
352,7.42,7.17,7.25,10.0,10.0,10.0,0
554,7.25,7.0,7.0,10.0,10.0,10.0,0
58,6.83,6.92,7.5,10.0,10.0,10.0,0
321,8.0,8.08,7.83,10.0,10.0,10.0,1
43,7.83,7.67,7.92,9.33,10.0,9.33,1
769,8.17,8.17,8.08,10.0,10.0,10.0,1
1016,7.0,7.5,7.42,10.0,10.0,10.0,1
39,7.92,7.75,7.67,10.0,10.0,10.0,1
434,7.92,7.58,7.33,8.0,8.0,8.0,0
358,7.33,7.33,7.5,10.0,10.0,10.0,0
629,7.83,7.92,8.25,10.0,10.0,8.0,1
413,7.58,7.17,7.33,8.0,10.0,10.0,0
310,7.58,7.83,7.92,10.0,10.0,10.0,1
483,7.83,7.5,7.58,10.0,10.0,10.0,1
852,7.67,7.67,7.5,10.0,10.0,10.0,1
727,7.42,7.58,7.33,10.0,10.0,10.0,0
864,7.92,6.75,7.92,10.0,10.0,9.33,1
266,7.58,7.5,7.5,10.0,10.0,10.0,0
84,7.33,7.42,7.25,10.0,10.0,10.0,0
380,7.58,7.25,7.75,9.33,10.0,9.33,1
778,7.5,7.42,7.5,10.0,10.0,10.0,0
805,7.33,7.17,7.25,10.0,10.0,10.0,0
182,7.67,8.0,8.17,10.0,10.0,10.0,1
500,7.67,7.33,7.17,10.0,10.0,10.0,0
563,7.75,7.75,7.75,10.0,10.0,10.0,1
1059,7.42,7.42,7.33,10.0,10.0,10.0,0
518,7.67,7.75,7.67,10.0,10.0,10.0,1
830,7.58,7.75,7.5,9.33,10.0,10.0,1
522,7.75,7.83,7.58,10.0,10.0,10.0,1
197,7.75,7.83,7.5,10.0,10.0,10.0,1
705,7.92,7.75,7.75,10.0,10.0,10.0,1
