car_id,model,year,engine_size,horsepower,fuel_type,transmission,drivetrain,mileage_km,fuel_consumption_l_per_100km,co2_emissions_g_km,price_usd,doors,seats,body_type,color,owner_count,accident_history,service_history,country_sold,ID
9298,1 Series,2012,2.1,184,hybrid,automatic,FWD,246543,4.6,106.0,9439,5,5,hatchback,black,2.0,yes,full,UK,4227
4697,Z4,2018,2.9,281,petrol,automatic,RWD,98238,9.4,207.0,54589,2,2,convertible,white,2.0,no,partial,Netherlands,4676
6635,5 Series,2008,3.1,297,petrol,automatic,AWD,300000,9.0,182.0,23239,4,5,sedan,silver,4.0,yes,full,Turkey,800
1723,7 Series,2022,3.6,355,petrol,automatic,RWD,8937,11.5,249.0,101879,4,4,sedan,blue,1.0,,partial,USA,3671
8626,Z4,2023,3.0,263,petrol,automatic,RWD,5778,9.4,195.0,77988,2,2,convertible,black,1.0,no,full,Netherlands,4193
6552,7 Series,2018,4.8,346,hybrid,automatic,AWD,75481,7.2,157.0,75741,4,4,sedan,black,2.0,no,none,France,2968
5096,3 Series,2020,2.7,273,hybrid,automatic,RWD,87047,5.1,129.0,42685,4,5,sedan,white,0.0,no,full,USA,4793
4104,X3,2005,2.0,201,diesel,automatic,RWD,249342,6.5,139.0,25982,5,5,suv,red,2.0,no,full,Netherlands,4368
9622,3 Series,2014,3.4,354,petrol,manual,RWD,215072,10.2,224.0,26624,4,5,sedan,white,1.0,yes,partial,Spain,2776
5564,X1,2019,2.4,206,hybrid,automatic,FWD,72598,5.2,118.0,44286,5,5,suv,black,,no,full,Germany,2970
7237,X3,2020,2.6,268,diesel,automatic,AWD,40989,,173.0,56462,5,5,suv,silver,1.0,no,full,France,3867
1315,X5,2020,3.6,344,diesel,automatic,AWD,53323,8.7,196.0,90565,5,5,suv,red,0.0,no,full,Germany,1743
9096,3 Series,2024,2.5,271,diesel,automatic,RWD,11608,8.0,177.0,54035,4,5,sedan,blue,1.0,no,full,Germany,3948
3903,3 Series,2011,2.5,252,diesel,automatic,RWD,193833,7.0,148.0,18446,4,5,sedan,blue,4.0,no,partial,Germany,3802
6648,X1,2007,1.8,190,diesel,automatic,AWD,137306,6.1,146.0,21784,5,5,suv,black,2.0,no,partial,UK,2024
4867,Z4,2006,2.6,234,petrol,automatic,RWD,291710,8.0,174.0,19688,2,2,convertible,,4.0,no,full,France,2274
7232,Z4,2019,2.2,234,petrol,automatic,RWD,106020,8.9,198.0,54257,2,2,convertible,grey,4.0,no,full,Spain,99
5519,3 Series,2023,,131,petrol,automatic,AWD,32382,8.0,197.0,38736,4,5,sedan,black,1.0,no,full,Turkey,4921
3036,5 Series,2007,,206,petrol,automatic,RWD,300000,8.6,194.0,15612,4,5,sedan,blue,3.0,no,partial,Italy,3407
2156,i7,2022,0.0,532,electric,automatic,AWD,20126,0.0,0.0,132330,4,4,sedan,silver,1.0,yes,partial,Italy,4245
1610,7 Series,2021,3.2,346,hybrid,automatic,RWD,48634,5.4,107.0,105007,4,4,sedan,white,1.0,,full,Turkey,4619
6679,3 Series,2015,2.5,269,petrol,manual,AWD,79873,8.8,195.0,35606,4,5,sedan,black,1.0,no,full,UK,4916
2856,X1,2023,1.5,143,petrol,automatic,FWD,23508,7.1,159.0,46652,5,5,suv,black,0.0,no,full,USA,191
6313,i3,2016,0.0,218,electric,automatic,RWD,141531,0.0,0.0,38944,5,4,hatchback,black,1.0,no,partial,France,4696
4230,5 Series,2021,2.3,206,petrol,automatic,RWD,22305,,190.0,62944,4,5,sedan,black,0.0,no,full,Spain,1784
5045,1 Series,2013,1.6,185,hybrid,automatic,FWD,150948,4.4,102.0,15332,5,5,hatchback,black,5.0,no,full,Spain,1532
4011,Z4,2007,2.7,225,petrol,automatic,RWD,284636,8.2,180.0,23110,2,2,convertible,red,3.0,yes,full,France,2834
1695,5 Series,2023,2.5,264,petrol,automatic,AWD,0,9.1,201.0,66468,4,5,sedan,blue,0.0,no,partial,Netherlands,4444
7516,3 Series,2008,3.0,252,petrol,manual,AWD,289629,8.6,185.0,12451,4,5,sedan,white,3.0,yes,full,Turkey,4915
5280,3 Series,2007,2.5,244,diesel,automatic,RWD,163762,7.6,155.0,15905,4,5,sedan,white,4.0,yes,partial,France,1598
3326,X3,2006,3.2,306,hybrid,automatic,RWD,171598,6.3,126.0,29911,5,5,suv,blue,4.0,yes,full,USA,1779
6276,i4,2017,0.0,143,electric,automatic,AWD,89642,,0.0,47141,4,5,coupe,white,2.0,yes,full,Spain,4900
103,X3,2020,2.1,170,diesel,automatic,RWD,48204,6.2,162.0,57368,5,5,suv,black,2.0,no,full,France,2574
4246,7 Series,2022,4.5,346,hybrid,automatic,AWD,1495,7.2,159.0,107837,4,4,sedan,silver,2.0,no,full,Turkey,3398
5842,Z4,2021,2.1,218,petrol,automatic,RWD,18264,,171.0,63410,2,2,convertible,white,1.0,no,full,Italy,3975
4293,X3,2015,3.0,246,petrol,automatic,RWD,113319,9.4,212.0,51703,5,5,suv,black,1.0,no,full,Netherlands,3770
